
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555503799400 ;SP ;AMERICANA ;PARQUE UNIVERSITARIO ;RUA SUMARE, N. 155, Apto 102, BL A ;141.000,00;235.000,00;40.00;Apartamento, 0.00 de área total, 59.99 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503799400
 8444410112594 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 1518, Apto 321, BL 3 ;103.927,27;173.212,11;40.00;Apartamento, 0.00 de área total, 50.16 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410112594
 8444413104207 ;SP ;AMERICANA ;BARROCA ;AVENIDA COMENDADOR THOMAZ FORTUNATO, N. 2000, Apto 301, BL 08 ;103.560,00;172.600,00;40.00;Apartamento, 0.00 de área total, 50.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413104207
 1444414024420 ;SP ;AMERICANA ;VILA AMORIM ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 204, BL 18  SUB 02 ;107.236,00;166.000,00;35.40;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414024420
 8787705580214 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 204, BL 25 ;117.098,40;180.151,39;35.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705580214
 8444409946800 ;SP ;AMERICANA ;PARQUE SAO JERONIMO ;ESTRADA DA BALSA, N. 2303, Apto 26, 0 ;130.000,00;200.000,00;35.00;Apartamento, 0.00 de área total, 58.66 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409946800
 8444410990281 ;SP ;AMERICANA ;SAO VITO ;RUA ARNO TOGNETTA, N. 401, Apto 204,  BL 2 ;150.000,00;200.000,00;25.00;Apartamento, 0.00 de área total, 50.20 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410990281
 8555538363269 ;SP ;AMERICANA ;VILA AMORIM ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 402, BL 34 GARAGEM 898 ;162.769,31;200.000,00;18.62;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538363269
 8555538092524 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 205, BL 17 ;148.947,89;165.000,00;9.73;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538092524
 8555534997182 ;SP ;AMERICANA ;CARIOBINHA ;RUA SAO SEBASTIAO, N. 845, Apto 156, BLOCO A ;235.277,42;235.277,42;0.00;Apartamento, 0.00 de área total, 44.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534997182
 8555534108299 ;SP ;AMERICANA ;CENTRO ;RUA DOM PEDRO II, N. 255, Apto 42A, . ;250.000,00;250.000,00;0.00;Apartamento, 0.00 de área total, 52.25 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534108299
 8787708313110 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 303, BLOCO 29 ;183.000,00;183.000,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708313110
 8444412752248 ;SP ;AMERICANA ;PARQUE SAO JERONIMO ;RUA JULIO JUSTI, N. 766, Apto 23, . ;232.034,42;232.034,42;0.00;Apartamento, 0.00 de área total, 64.69 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412752248
 1444415980880 ;SP ;AMERICANA ;JARDIM MIRANDOLA ;RUA BOLONHA, N. SN, LOTE 11A QD 01 ;130.000,00;130.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 162.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415980880
 1555512412892 ;SP ;AMERICANA ;CIDADE JARDIM II ;RUA DAS VIOLETAS, N. 520, Apto 11, . ;339.389,00;339.389,00;0.00;Apartamento, 0.00 de área total, 97.99 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555512412892
 8444419294032 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 201, BL 28 ;179.388,00;179.388,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419294032
 8555537761376 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA  VALENCIA, N. 155, Apto 301, BL 19 ;201.000,00;201.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537761376
 8555538861390 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA  VALENCIA, N. 155, Apto 105, BL 31 ;260.000,00;260.000,00;0.00;Apartamento, 0.00 de área total, 42.88 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538861390
 8444427437688 ;SP ;AMERICANA ;SAO DOMINGOS ;RUA TREZE DE MAIO, N. 880, Apto 102-, BL B ;288.938,51;288.938,51;0.00;Apartamento, 0.00 de área total, 58.27 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427437688
 8555536414630 ;SP ;AMERICANA ;RESIDENCIAL PRAIA DOS NAMORADOS ;AVENIDA ANTONIO CENTURIONE BOER, N. 540, Apto 183, BL 02 ;200.885,07;196.000,00;0.00;Apartamento, 0.00 de área total, 51.75 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536414630
 10167291 ;SP ;AMERICO BRASILIENSE ;JARDIM SAO JOSE ;AVENIDA JULIO CORREIA ARRUDA, N. 512, LT 3, QD 41 ;1.700.526,46;572.188,06;0.00;Comercial, 0.00 de área total, 252.34 de área privativa, 312.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10167291
 8444413582770 ;SP ;ANDRADINA ;CONJUNTO HABITACIONAL ALVARO GASPARELLI ;RUA JOSE MARTINS RODRIGUES ANTIGA RUA 06, N. 550, LT 39 QD 16 ;128.150,00;233.000,00;45.00;Casa, 0.00 de área total, 40.28 de área privativa, 170.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413582770
 8444401087515 ;SP ;ANDRADINA ;PARQUE MORUMBI ;RUA MALVINA BIAZON ROQUE, N. 1105, . ;173.308,55;173.308,55;0.00;Casa, 0.00 de área total, 69.89 de área privativa, 176.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401087515
