
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555530830488 ;ES ;CARIACICA ;RIO BRANCO ;RUA SANTA CATARINA, N. 37, Apto 1702, 17 PAV TORRE 04 ;237.500,00;237.500,00;0.00;Apartamento, 0.00 de área total, 53.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555530830488
 8444415646015 ;ES ;CARIACICA ;VISTA DOURADA ;RUA DAS ORQUIDEAS, N. 224B, . ;165.000,00;165.000,00;0.00;Casa, 0.00 de área total, 52.76 de área privativa, 292.74 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415646015
 8787710546851 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 102, BLOCO 12 ;195.000,00;195.000,00;0.00;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710546851
 8787712256990 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 301, BL 15 VG 65 ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712256990
 8787713110698 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 304, BL 07 ;181.000,00;181.000,00;0.00;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713110698
 8787713634336 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 101, BLOCO 07 ;165.000,00;165.000,00;0.00;Apartamento, 0.00 de área total, 50.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713634336
 8787705278739 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 503, BL 13 ;210.000,00;158.000,00;0.00;Apartamento, 0.00 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705278739
 1555536971522 ;ES ;COLATINA ;SAO SILVANO ;RUA NOSSA SENHORA APARECIDA, N. 371, Apto 201, 0 ;155.512,00;280.000,00;44.46;Apartamento, 0.00 de área total, 88.87 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555536971522
 8555516069473 ;ES ;COLATINA ;COLUMBIA ;RUA  BEIJAFLOR, N. 368, 0 ;56.670,00;100.000,00;43.33;Casa, 0.00 de área total, 94.49 de área privativa, 204.12 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555516069473
 8444403121320 ;ES ;COLATINA ;AYRTON SENNA ;RUA TANCREDO NEVES, N. 0, LT 33, QD M ;85.005,00;150.000,00;43.33;Casa, 0.00 de área total, 51.74 de área privativa, 144.00 de área do terreno,  2 qto(s), a.serv, WC, sacada, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403121320
 8444427465614 ;ES ;COLATINA ;AYRTON SENNA ;RUA LEANDRO RODRIGUES DE SOUZA, N. 84, LOTE 12 QUADRA 376 ;151.193,52;181.000,00;16.47;Casa, 0.00 de área total, 82.84 de área privativa, 145.87 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427465614
 1444417242703 ;ES ;COLATINA ;MOACYR BROTAS ;RUA FREDERICO ARTHUR LOSS, N. 29, LT 18 QD G ;547.895,39;538.000,00;0.00;Casa, 0.00 de área total, 180.69 de área privativa, 250.80 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417242703
 1444411000430 ;ES ;FUNDAO ;Praia Grande ;RUA NATAL, N. 668, LT 03 QD 71 ;300.000,00;300.000,00;0.00;Casa, 0.00 de área total, 142.87 de área privativa, 240.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444411000430
 10184277 ;ES ;GUACUI ;CENTRO ;RUA RIO GRANDE DO NORTE, N. 00 ;368.000,00;368.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 886.13 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10184277
 8555527632182 ;ES ;GUARAPARI ;KUBITSCHEK ;RUA 1 DE JANEIRO, N. 55, Apto 404, BL 01 ;173.000,00;173.000,00;0.00;Apartamento, 0.00 de área total, 51.38 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527632182
 8444411197747 ;ES ;GUARAPARI ;SANTA MONICA ;AVENIDA CONSTELACAO, N. 399, CS 2 ;158.000,00;158.000,00;0.00;Casa, 0.00 de área total, 62.65 de área privativa, 182.33 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411197747
 10184276 ;ES ;GUARAPARI ;PRAIA DO MORRO ;RUA CANNES, N. 193, QD 61, LTS 16 E 17 ;920.000,00;920.000,00;0.00;Casa, 0.00 de área total, 200.39 de área privativa, 620.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10184276
 8313200000084 ;ES ;GUARAPARI ;PRAIA DO MORRO ;RUA TAITI  ATUAL RUA JOSE ALVES SOARES, N. 133, Apto 301, . ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 55.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8313200000084
 8555534844114 ;ES ;LINHARES ;SAO JOSE ;AV HENRIQUE GABURRO, N. 100, Apto 402, BL 03 ;138.000,00;138.000,00;0.00;Apartamento, 0.00 de área total, 47.55 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534844114
 8555538938156 ;ES ;LINHARES ;SAO JOSE ;AVENIDA HENRIQUE GABUIRRO, N. 100, Apto 401, BL 06 ;146.000,00;146.000,00;0.00;Apartamento, 0.00 de área total, 48.93 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538938156
 8787708242174 ;ES ;LINHARES ;AVISO ;AVENIDA FILOGONIO PEIXOTO, N. 736, Apto 106, BL 06 ;149.000,00;149.000,00;0.00;Apartamento, 0.00 de área total, 47.25 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708242174
 8444401166709 ;ES ;LINHARES ;MOVELAR ;RUA DOS JUAZEIROS, N. 996, LOTE 07 QD 09 ;279.427,22;264.000,00;0.00;Casa, 0.00 de área total, 49.50 de área privativa, 420.98 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401166709
 10007824 ;ES ;MARATAIZES ;MARATAIZES ;RUA GERALDO DOS SANTOS (ANTIGA RUA C PROJETADA), N. SN, QD 05 LT 03 ;217.313,66;145.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 288.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10007824
 8444409096432 ;ES ;NOVA VENECIA ;RUBIA ;RUA PAPAZANAC, N. 0, LT 07 QD 14 ;46.469,40;82.000,00;43.33;Terreno, 0.00 de área total, 0.00 de área privativa, 240.00 de área do terreno,  1 qto(s), WC, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409096432
 8444411202147 ;ES ;PINHEIROS ;Pinheiros ;RUA RAIMUNDO ZAMPROGNO, N. SN, LT 11 QD R ;90.672,00;160.000,00;43.33;Casa, 58.06 de área total, 58.06 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411202147
 10187880 ;ES ;SAO JOSE DO CALCADO ;SETOR II ;RUA DOUTOR JOSÉ FERNANDES MEDINA, N. 00, CASA A ;163.000,00;163.000,00;0.00;Casa, 0.00 de área total, 75.50 de área privativa, 90.37 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10187880
 10187881 ;ES ;SAO JOSE DO CALCADO ;SETOR II ;RUA DOUTOR JOSÉ FERNANDES MEDINA, N. 00, CASA B ;163.000,00;163.000,00;0.00;Casa, 0.00 de área total, 75.50 de área privativa, 90.37 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10187881
 1444400504874 ;ES ;SAO MATEUS ;BOA VISTA ;RUA VEREADORA LIZETE CONDE RIOS CAVALCANTI, N. 145, . ;1.745.000,00;1.745.000,00;0.00;Casa, 0.00 de área total, 206.39 de área privativa, 549.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400504874
 8204100012646 ;ES ;SERRA ;TAQUARA II ;RUA SAMUEL MEIRA BRASIL, N. 915, Apto 401, BL 2 ;59.400,00;108.000,00;45.00;Apartamento, 0.00 de área total, 40.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8204100012646
 8444411314832 ;ES ;SERRA ;SAO LOURENCO ;RUA LUIZ NUNES, N. 87, CASA 04 LT 15 QD 14 ;99.201,80;179.000,00;44.58;Casa, 54.26 de área total, 51.26 de área privativa, 240.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411314832
