
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444402351780 ;RO ;GUAJARA-MIRIM ;SAO JOSE ;AVENIDA ALAMEDA SAO JOSE, N. SN, LT 20, QD 161, SETOR II ;56.556,96;89.830,00;37.05;Casa, 0.00 de área total, 66.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402351780
 1444407918151 ;RO ;GUAJARA-MIRIM ;PLANALTO ;AVENIDA GIACOMO CASARA, N. SN, QD 53 SETOR IV ;115.000,00;115.000,00;0.00;Casa, 0.00 de área total, 107.00 de área privativa, 287.50 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407918151
 8444423500687 ;RO ;GUAJARA-MIRIM ;CAETANO ;AVENIDA GIACOMO CASARA, N. SN, QD 28 LT 17 ST IV ;159.000,00;159.000,00;0.00;Casa, 0.00 de área total, 67.18 de área privativa, 175.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423500687
 8444427290768 ;RO ;GUAJARA-MIRIM ;OCIDENTAL PARK ;AVENIDA ANA NERY, N. SN, LT 24 QD 76 SETOR 4 ;152.429,17;152.000,00;0.00;Casa, 0.00 de área total, 64.20 de área privativa, 262.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427290768
 1444420213778 ;RO ;GUAJARA-MIRIM ;CAETANO ;AVENIDA ANA NERY, N. SN, LT03 ;406.615,64;397.059,69;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 4500.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444420213778
 10171244 ;RO ;JARU ;Setor 02 ;AVENIDA JK, N. S/N, QD 01, LT 30, SETOR 02, BL C ;677.078,10;1.190.000,00;43.11;Galpão, 0.00 de área total, 500.00 de área privativa, 932.75 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171244
 8444424724783 ;RO ;JARU ;Setor 07 ;RUA PARANA, N. S/N, LOT 27 QD 06 BL B ;99.682,30;167.000,00;40.31;Casa, 61.00 de área total, 61.00 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424724783
 1444410407731 ;RO ;JARU ;Centro ;RUA NILTON  DE  OLIVEIRA  ARAUJO, N. 939, LT 15 QD 44 ST 03 ;227.290,00;324.700,00;30.00;Casa, 0.00 de área total, 203.87 de área privativa, 864.93 de área do terreno,  5 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410407731
 10171251 ;RO ;JARU ;SETOR 5 ;AVENIDA DOM PEDRO I, N. 12, QD 11,LT 12,BL B ;235.852,49;325.000,00;27.44;Terreno, 0.00 de área total, 0.00 de área privativa, 466.97 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171251
 8444408088797 ;RO ;JI-PARANA ;BAIRRO GREENVILLE II ;RUA IRATI, N. 3396, ST 07 03, LT 10, QD I ;82.080,52;162.000,00;49.34;Casa, 59.26 de área total, 59.26 de área privativa, 260.75 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408088797
 8444415088918 ;RO ;JI-PARANA ;BOA ESPERANCA ;RUA IRATI, N. 3371 ;88.672,00;160.000,00;44.58;Casa, 58.75 de área total, 58.75 de área privativa, 225.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415088918
 8444422324630 ;RO ;JI-PARANA ;BOA ESPERANCA ;RUA PORTO RICO, N. 3353, LT 17C QD A ;91.443,00;165.000,00;44.58;Casa, 0.00 de área total, 54.17 de área privativa, 165.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422324630
 8444428204890 ;RO ;JI-PARANA ;COPAS VERDES ;RUA ELVIRA EVANGELISTA DA SILVA, N. 1896, QUADRA 46 ;91.218,13;152.819,80;40.32;Casa, 0.00 de área total, 70.00 de área privativa, 153.25 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428204890
 8444412674328 ;RO ;JI-PARANA ;CENTRO ;ESTRADA VICINAL DO KM 05, N. 1649, CS 30 ;107.661,60;171.000,00;37.04;Casa, 0.00 de área total, 50.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412674328
 1444419304781 ;RO ;JI-PARANA ;CASA PRETA ;RUA MATO GROSSO, N. 2123, LT 13A QD 30A ST 01 ;232.187,20;331.696,00;30.00;Casa, 0.00 de área total, 119.47 de área privativa, 219.21 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419304781
 8444413775675 ;RO ;JI-PARANA ;COPAS VERDES ;ESTRADA VICINAL, N. 1649, CS 35 ;171.000,00;171.000,00;0.00;Casa, 0.00 de área total, 50.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413775675
 1444416615999 ;RO ;JI-PARANA ;ESPELHO D AGUA ;AVENIDA DAS PAINEIRAS, N. SN, LT 04 QD 01 ;878.886,51;776.097,03;0.00;Casa, 0.00 de área total, 229.00 de área privativa, 615.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416615999
 10012277 ;RO ;PORTO VELHO ;PORTO VELHO ;RUA B, N. S/N, QD 07, LT 09, ST 51 ;784.464,75;1.426.299,54;45.00;Terreno, 0.00 de área total, 0.00 de área privativa, 5650.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10012277
 10012279 ;RO ;PORTO VELHO ;CIDADE JARDIM ;RUA HORTELA, N. S/N, QD 10, SETOR 51, LT 829 ;770.000,00;1.400.000,00;45.00;Outros, 0.00 de área total, 0.00 de área privativa, 6017.25 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10012279
 10012276 ;RO ;PORTO VELHO ;CIDADE JARDIM ;RUA C, N. S/N, QD 11, LT 03, SETOR 51 ;439.350,00;750.000,00;41.42;Terreno, 0.00 de área total, 0.00 de área privativa, 5000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10012276
 10012278 ;RO ;PORTO VELHO ;CIDADE JARDIM ;RUA SEBASTIÃO HAFFNER, N. 650, QD 10, LOTE 650, SETOR 51 ;247.207,60;422.000,00;41.42;Terreno, 0.00 de área total, 0.00 de área privativa, 5650.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10012278
