
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444406036805 ;PA ;ALTAMIRA ;JARDIM INDEPENDENTE I ;RUA ACESSO 04, N. SN, LOTE 08 QD 12 ;317.000,00;317.000,00;0.00;Casa, 0.00 de área total, 300.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406036805
 1444406293182 ;PA ;ALTAMIRA ;ALBERTO SOARES ;ALAMEDA SAO PAULO, N. 5, LT 05 QD 02 ;273.000,00;273.000,00;0.00;Casa, 0.00 de área total, 80.00 de área privativa, 240.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406293182
 1444402413493 ;PA ;ALTAMIRA ;COLINAS ;RUA WE 07, N. SN, LT 08B4 QD P ;271.000,00;271.000,00;0.00;Casa, 0.00 de área total, 69.80 de área privativa, 226.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402413493
 8444406744433 ;PA ;ALTAMIRA ;COLINAS ;RUA WE06, N. SN, LOTE 06 QUADRA K ;116.000,00;116.000,00;0.00;Casa, 0.00 de área total, 62.00 de área privativa, 150.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406744433
 1444408340145 ;PA ;ALTAMIRA ;IBIZA ;RUA OLGA BELLO SOARES, N. 2080, CS ;306.000,00;306.000,00;0.00;Casa, 0.00 de área total, 69.90 de área privativa, 230.65 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408340145
 8444409906647 ;PA ;ALTAMIRA ;BELA VISTA ;RUA SEIS, N. SN, LT 46 QD H ;120.555,16;120.000,00;0.00;Casa, 0.00 de área total, 62.00 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409906647
 1444405855101 ;PA ;ALTAMIRA ;IBIZA ;RUA MARIA ALVES DA SILVA, N. 1900, QD 04 LT 11 ;450.000,00;360.000,00;0.00;Casa, 0.00 de área total, 196.66 de área privativa, 250.72 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405855101
 8444406823996 ;PA ;ANANINDEUA ;CIDADE NOVA ;TRAVESSA SN-04, N. S/N, Apto 105, QD S, BL 03 ;118.000,00;236.000,00;50.00;Apartamento, 0.00 de área total, 42.45 de área privativa, 0.00 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406823996
 8002203000188 ;PA ;ANANINDEUA ;AGUAS LINDAS ;QUARTA TRAVESSA, N. 41 Á 44, Apto 201, BLOCO A ;70.950,00;129.000,00;45.00;Apartamento, 93.99 de área total, 49.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8002203000188
 1444401971298 ;PA ;ANANINDEUA ;QUARENTA HORAS (COQUEIRO) ;RUA TOPAZIO, N. 76, LT 76, QD C ;112.200,00;204.000,00;45.00;Casa, 0.00 de área total, 154.71 de área privativa, 160.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401971298
 8444413894402 ;PA ;ANANINDEUA ;ICUIGUAJARA ;ESTRADA DO ICUIGUAJARA, N. 54A, LT 04 ;66.504,00;120.000,00;44.58;Casa, 0.00 de área total, 69.80 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413894402
 8555539035389 ;PA ;ANANINDEUA ;QUARENTA HORAS COQUE ;ESTRADA QUARENTA HORAS, N. 100, Apto 204, BL 23 ;102.527,00;185.000,00;44.58;Apartamento, 0.00 de área total, 41.34 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539035389
 8555513848960 ;PA ;ANANINDEUA ;COQUEIRO ;RODOVIA DO MARIO COVAS, N. 640, Apto 102, BLOCO 10 ;79.804,80;144.000,00;44.58;Apartamento, 0.00 de área total, 43.46 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513848960
 8555530222488 ;PA ;ANANINDEUA ;DISTRITO INDUSTRIAL ;RUA 3 (RUA RURAL), N. 50, BL 17, ALAMEDA 2 ;79.250,60;143.000,00;44.58;Casa, 0.00 de área total, 64.64 de área privativa, 131.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555530222488
 8555530365599 ;PA ;ANANINDEUA ;JIBOIA BRANCA ;RUA JIBOIA BRANCA, N. 198, Apto 3, BL 38 ;76.479,60;138.000,00;44.58;Apartamento, 0.00 de área total, 52.18 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555530365599
 8444422033902 ;PA ;ANANINDEUA ;COQUEIRO ;RUA ELCIONE BARBALHO, N. 18, 0 ;62.903,70;111.000,00;43.33;Casa, 0.00 de área total, 69.80 de área privativa, 112.73 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422033902
 1444415883868 ;PA ;ANANINDEUA ;LEVILANDIA ;RUA CIDADE DE MACAPA, N. 342 ;675.690,80;1.132.000,00;40.31;Casa, 0.00 de área total, 650.00 de área privativa, 1420.57 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 3 sala(s), 1 lavabo(s), cozinha, 6 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415883868
 8444409800008 ;PA ;ANANINDEUA ;COQUEIRO ;RUA DO MARIO COVAS, N. 640, Apto 301, BL 1 ;82.800,00;138.000,00;40.00;Apartamento, 0.00 de área total, 53.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409800008
 8555529197874 ;PA ;ANANINDEUA ;COQUEIRO ;RODOVIA MARIO COVAS, N. 640, Apto 303, BL 17 LT 18F ;94.800,00;158.000,00;40.00;Apartamento, 0.00 de área total, 43.46 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555529197874
 1444401548310 ;PA ;ANANINDEUA ;MAGUARI ;RUA CAJUI N 20 LT 18  ALAMEDA OLHO D AGUA, N. SN, LT 18 FRENTE COM A ALAMEDA OLHO DAGUA ;167.400,00;279.000,00;40.00;Casa, 0.00 de área total, 113.45 de área privativa, 136.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401548310
 8555506396501 ;PA ;ANANINDEUA ;GUANABARA ;AVENIDA  RICARDO BORGES, N. 42, Apto 301, BL B3 ;84.000,00;140.000,00;40.00;Apartamento, 0.00 de área total, 55.05 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555506396501
