
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444407558510 ;RN ;CAICO ;JOAO XXIII ;RUA ADONIAS MELO, N. 189 ;52.649,00;95.000,00;44.58;Casa, 0.00 de área total, 68.62 de área privativa, 75.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407558510
 8444404566627 ;RN ;CAICO ;PAULO VI ;RUA FRANCISCO ALVES MAIS, N. 70 ;52.687,78;92.972,98;43.34;Casa, 0.00 de área total, 79.33 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404566627
 8444404244123 ;RN ;CAICO ;BAIRRO JOAO XXIII ;RUA ANTONIO ALADIM N 350, N. 350, CASA ;51.003,00;90.000,00;43.33;Casa, 0.00 de área total, 113.07 de área privativa, 133.92 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404244123
 1555500053728 ;RN ;CAICO ;JARDIM SATELITE II ;RUA JOSE GARCES VIEIRA, N. 0, QD 01, LT 03 ;88.800,00;148.000,00;40.00;Casa, 0.00 de área total, 191.93 de área privativa, 419.85 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555500053728
 8444411083091 ;RN ;CAICO ;SAMANAU ;RUA PROFESSORA MARTA ARAUJO, N. 596, LT 06 QD 09 ;115.570,62;22.000,00;0.00;Casa, 0.00 de área total, 83.00 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411083091
 8444408144107 ;RN ;CAMPO GRANDE ;ALTOS DO PANAMA ;RUA CLAUDIONOR BATISTA DE OLIVEIRA, N. 7 ;41.565,00;75.000,00;44.58;Casa, 0.00 de área total, 60.00 de área privativa, 244.10 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408144107
 8444416072381 ;RN ;CAMPO REDONDO ;CAMPO DAS COLINAS ;RUA OSVALDO NOBERTO DA COSTA, N. 116, QD 09, LT 27 ;42.699,98;77.047,97;44.59;Casa, 0.00 de área total, 62.70 de área privativa, 134.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416072381
 8444416417419 ;RN ;CAMPO REDONDO ;CAMPO DAS COLINAS ;RUA OSVALDO NOBERTO DA COSTA, N. 104, QD 09, LT 26A ;44.336,00;80.000,00;44.58;Casa, 0.00 de área total, 66.31 de área privativa, 134.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416417419
 8444416601988 ;RN ;CAMPO REDONDO ;CONJUNTO LAURO MAIA ;RUA MANOEL MOACIR PESSOA, N. 57 ;71.491,80;129.000,00;44.58;Casa, 0.00 de área total, 88.55 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416601988
 8444411525000 ;RN ;CAMPO REDONDO ;SERRA DO DOUTOR ;RUA MARINETE ALVES DA SILVA, N. 116 ;52.094,80;94.000,00;44.58;Casa, 84.71 de área total, 84.71 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411525000
 8444413109772 ;RN ;CAMPO REDONDO ;LAURO MAIA ;RUA JOSE MARQUES, N. 15, . ;78.658,59;77.000,00;0.00;Casa, 0.00 de área total, 69.99 de área privativa, 117.67 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413109772
 8444403859531 ;RN ;CANGUARETAMA ;LAGOA DE SÃO JOÃO ;RUA OCEANIA PROJETADA 7, LT 04 QD D ;31.901,10;77.000,00;58.57;Casa, 0.00 de área total, 69.21 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403859531
 8444409082601 ;RN ;CANGUARETAMA ;LAGOA DE SAO JOAO ;RUA OCEANIA PROJETADA 07, LT 07 QD B ;40.187,10;97.000,00;58.57;Casa, 0.00 de área total, 63.00 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409082601
 8444410072576 ;RN ;CANGUARETAMA ;CANGUARETAMA ;RUA OCEANIA PROJETADA 7, N. S/N, QD B LT 11 LOTEAMENTO ANTILHAS ;40.394,25;97.500,00;58.57;Casa, 0.00 de área total, 64.00 de área privativa, 231.04 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410072576
 8444403153388 ;RN ;CANGUARETAMA ;CENTRO ;RUA PROJETADA 07, N. S/N, QD A, LT 02 ;42.502,49;80.753,47;47.37;Casa, 0.00 de área total, 64.00 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403153388
 8444405127708 ;RN ;CANGUARETAMA ;LAGOA DE SÃO JOÃO ;RUA OCEANIA PROJETADA 07, N. 14, LT 14, QD D ;62.186,02;112.208,64;44.59;Casa, 0.00 de área total, 64.00 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405127708
 8444406266183 ;RN ;CANGUARETAMA ;LAGOA DE SAO JOAO ;RUA OCEANIA (PROJETADA 07), LT 06, QD B ;46.552,79;84.000,00;44.59;Casa, 0.00 de área total, 63.00 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406266183
 8444406540870 ;RN ;CANGUARETAMA ;LOTEAMENTO ANTILHAS ;RUA OCEANIA PROJETADA 7, LOTE 31, QUADRA D ;49.506,12;89.328,99;44.59;Casa, 0.00 de área total, 70.60 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406540870
 8444403771090 ;RN ;CANGUARETAMA ;LAGOA DE SAO JOAO ;RUA RUA OCEANIA ANTIGA RUA PROJETADA 07, N. SN, LT 28 QD D ;45.444,40;82.000,00;44.58;Casa, 0.00 de área total, 70.00 de área privativa, 231.04 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403771090
 8444405922540 ;RN ;CANGUARETAMA ;LAGOA DE SÃO JOÃO ;RUA OCEANIA PROJETADA 7, N. SN, QD B, LT 02, LOTEAMENTO ANTILHAS ;50.543,04;91.200,00;44.58;Casa, 0.00 de área total, 70.60 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405922540
 8444407426192 ;RN ;CANGUARETAMA ;BAIRRO LAGOA DE SAO ;RUA OCEANIA PROJETADA 7 N 21 LT21 QDD ANTILHAS, N. 21, LT21 QDD ;24.384,80;44.000,00;44.58;Casa, 0.00 de área total, 64.00 de área privativa, 231.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407426192
 8444408591707 ;RN ;CANGUARETAMA ;LAGOA DE SAO JOAO ;RUA OCEANIA PROJETADA 07, N. SN, LT 12 QD D ;39.348,20;71.000,00;44.58;Casa, 58.69 de área total, 58.69 de área privativa, 231.04 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408591707
 8444408935619 ;RN ;CANGUARETAMA ;LAGOA DE SAO JOAO ;RUA PROJETADA 7, LT 06, QD E ;52.649,00;95.000,00;44.58;Casa, 0.00 de área total, 64.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408935619
