
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444420123793 ;RJ ;ARARUAMA ;NOVO HORIZONTE ;RUA DO CONTORNO, N. 276, CASA 103 ;72.239,97;130.350,00;44.58;Casa, 0.00 de área total, 63.19 de área privativa, 750.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420123793
 8444401565816 ;RJ ;ARARUAMA ;BOA PERNA ;RUA R DOMINGOS MOIELLA, N. 44, CS.203,, N. 44, LT.30, QD.A, LOT. PARQUE SOL NASCENTE ;44.336,00;80.000,00;44.58;Casa, 0.00 de área total, 29.19 de área privativa, 360.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401565816
 8444420614240 ;RJ ;ARARUAMA ;PARATY ;RUA JURUA, N. 100, CASA 8 ;96.430,80;174.000,00;44.58;Casa, 0.00 de área total, 58.09 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420614240
 8444411394216 ;RJ ;ARARUAMA ;ITATIQUARA ;RUA WALDOMIRO MAXIMO CARVALHO, N. 106, QD 34, LT 510, CS 04 ;68.166,60;123.000,00;44.58;Casa, 0.00 de área total, 52.01 de área privativa, 457.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411394216
 1555534288140 ;RJ ;ARARUAMA ;BANANEIRAS IGUABINHA ;RUA VERONICA ANTUNES, N. 57 ;491.529,00;885.000,00;44.46;Casa, 0.00 de área total, 296.79 de área privativa, 450.00 de área do terreno,  5 qto(s), WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha, 3 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555534288140
 1555520317895 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA INDAIA, N. 295, LT 40 QD 29 ;147.181,00;265.000,00;44.46;Casa, 0.00 de área total, 231.59 de área privativa, 600.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555520317895
 8444409438830 ;RJ ;ARARUAMA ;HOSPICIO ;RUA SEM DENOMINACAO, N. 107, LT 4B ;91.238,70;161.000,00;43.33;Casa, 0.00 de área total, 81.12 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409438830
 8555505455512 ;RJ ;ARARUAMA ;NOSSA SENHORA DE NAZARETH ;RUA MEN DE SA, N. 463, CASA 02 LT 32 QD 11 ;150.175,50;265.000,00;43.33;Casa, 97.69 de área total, 97.69 de área privativa, 265.87 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555505455512
 8444417829303 ;RJ ;ARARUAMA ;PARQUE MATARUNA ;RUA COARACY NUNES (ANTIGA R FRANCO DA ROCHA), N. 147, LT 12, QD 04 ;111.639,90;197.000,00;43.33;Casa, 0.00 de área total, 92.56 de área privativa, 128.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417829303
 8555512635350 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA GOMES CARNEIRO, N. 532, CASA 02 ;75.371,10;133.000,00;43.33;Casa, 0.00 de área total, 69.78 de área privativa, 176.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512635350
 1444402845881 ;RJ ;ARARUAMA ;COQUEIRAL ;RUA CINCO DE JULHO, N. 700, LOT PRAIA DOS COQUEIROS ;262.276,00;445.000,00;41.07;Casa, 0.00 de área total, 261.30 de área privativa, 310.50 de área do terreno,  5 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402845881
 1444412686166 ;RJ ;ARARUAMA ;PARQUE MATARUNA ;RUA  CALOS EVELLES CASTANHO, N. 73, 1DIST QD03 LT20A ;170.116,50;285.000,00;40.31;Casa, 0.00 de área total, 176.60 de área privativa, 256.00 de área do terreno,  3 qto(s), WC, 1 sala(s), DCE, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412686166
 1444403990290 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA LOPES TROVAO, N. 193, QD 01, LT 27/29 ;249.600,00;416.000,00;40.00;Casa, 220.06 de área total, 220.06 de área privativa, 1067.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403990290
 1555512548360 ;RJ ;ARARUAMA ;JAPAO ;RUA JOSE GOMES PIRES, N. 194, QD B, LT 02, LOT RECANTO DO JAPAO ;193.200,00;322.000,00;40.00;Casa, 0.00 de área total, 148.05 de área privativa, 396.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555512548360
 8444409862615 ;RJ ;ARARUAMA ;LAGOINHA ;RUA AMETISTA, N. 15, RUA G ;104.400,00;174.000,00;40.00;Casa, 0.00 de área total, 98.00 de área privativa, 500.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409862615
 8555528420340 ;RJ ;ARARUAMA ;CLUBE DOS ENGENHEIROS ;AVENIDA COUNTRY CLUB DOS ENGENHEIROS N 2042 CASA 1, N. 2042, CS 134 LT 1H ;100.736,00;160.000,00;37.04;Casa, 0.00 de área total, 57.90 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555528420340
 1444406981739 ;RJ ;ARARUAMA ;ITATIQUARA ;RUA NIPOA, N. 46, CASA 101 LT 05 QD 11 ;109.820,00;172.000,00;36.16;Casa, 0.00 de área total, 60.00 de área privativa, 450.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406981739
 1444407658346 ;RJ ;ARARUAMA ;ALTO DA BOA VISTA ;RUA DONA FRUTUOSA, N. 226, CS 06 ;168.891,51;261.441,98;35.41;Casa, 85.01 de área total, 85.01 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407658346
 1444412307203 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA PORTUGAL, N. 122, CS 102 ;234.556,08;363.089,91;35.41;Casa, 0.00 de área total, 99.12 de área privativa, 402.48 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412307203
 1444417491410 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA DOUTOR OSWALDO CAMPOS, N. 373, UNID 104 ;158.193,58;244.881,71;35.41;Apartamento, 0.00 de área total, 71.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417491410
 1444400713503 ;RJ ;ARARUAMA ;COQUEIRAL ;AVENIDA AVENIDA DOM PLACIDO, N. 100, LOTE N° 972, QUADRA N° 04 ;168.545,68;260.906,64;35.41;Casa, 0.00 de área total, 81.92 de área privativa, 504.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400713503
