
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444417825154 ;CE ;CANINDE ;SAO FRANCISCO ;RUA MARIA CARDOSO MENEZES, N. 1621, LT 07A QD 12 ;145.000,00;145.000,00;0.00;Casa, 0.00 de área total, 95.25 de área privativa, 126.25 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417825154
 8444411668855 ;CE ;CANINDE ;CENTRO ;RUA JOSIAS GONDIM, N. 984, . ;145.000,00;145.000,00;0.00;Casa, 0.00 de área total, 92.60 de área privativa, 126.30 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411668855
 8444413739814 ;CE ;CANINDE ;PALESTINA ;RUA PROJETADA 06, N. 200, LT 19 A QD 3 ;121.749,05;114.000,00;0.00;Casa, 0.00 de área total, 82.80 de área privativa, 137.04 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413739814
 10151156 ;CE ;CARNAUBAL ;SÃO LUIS ;AVENIDA FRANCISCO RODRIGUES MARTINS, N. 1025 ;231.970,80;386.618,00;40.00;Casa, 0.00 de área total, 216.00 de área privativa, 2812.50 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10151156
 8444404016392 ;CE ;CAUCAIA ;PARQUE ALBANO (JUREMA) ;RUA PARANA, N. SN, Apto 404, QD 57 - BL 07 ;41.935,80;92.000,00;54.42;Apartamento, 0.00 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404016392
 8555511083745 ;CE ;CAUCAIA ;CIGANA ;RUA A, N. 119, 213 ;53.317,42;110.300,00;51.67;Casa, 180.00 de área total, 57.60 de área privativa, 170.24 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555511083745
 8555523296595 ;CE ;CAUCAIA ;GRILO ;RUA ANTONIO MOREIRA DA ROCHA, N. 855, Apto 102, BL B ;69.300,00;126.000,00;45.00;Apartamento, 50.84 de área total, 45.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555523296595
 8444419321889 ;CE ;CAUCAIA ;ARATURI (JUREMA) ;RUA 20, N. 755, Apto 204 ;71.214,69;128.500,00;44.59;Apartamento, 0.00 de área total, 46.93 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419321889
 8444416375570 ;CE ;CAUCAIA ;PARQUE POTIRA JUREMA ;RUA CONSUNEL, N. 3058, Apto 104A, LT 35, QD 106 ;78.142,20;141.000,00;44.58;Apartamento, 0.00 de área total, 50.82 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416375570
 8444417495081 ;CE ;CAUCAIA ;PARQUE GUADALAJARA J ;RUA VERA CRUZ, N. 1621, Apto 4, BL 02 ;76.479,60;138.000,00;44.58;Apartamento, 0.00 de área total, 54.35 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417495081
 8444421416131 ;CE ;CAUCAIA ;PARQUE GUADALAJARA ;RUA TAMPICO, N. 1640, Apto 201C, LT 35, QD 48 ;74.817,00;135.000,00;44.58;Apartamento, 0.00 de área total, 49.49 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421416131
 8444406852651 ;CE ;CAUCAIA ;PARQUE GUADALAJARA (JUREMA) ;RUA TAMPICO, N. 1881, CS 01, PARQUE POTIRA ;69.275,00;125.000,00;44.58;Casa, 0.00 de área total, 56.63 de área privativa, 550.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406852651
 8444401599656 ;CE ;CAUCAIA ;JANDAIGUABA ;RUA PLACIDO ADERALDO CASTELO, N. 108, CASA 04 ;53.203,20;96.000,00;44.58;Casa, 0.00 de área total, 54.69 de área privativa, 1044.88 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401599656
 8444407742566 ;CE ;CAUCAIA ;ARIANOPOLIS JUREMA ;RUA JEQUITIBA ANTIGA RUA 20 N 53 TERRENO M LOTE 44, N. 53, PT LT 44 QD 47 TERRENO M ;89.538,60;158.000,00;43.33;Casa, 0.00 de área total, 62.58 de área privativa, 125.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407742566
 8444410475026 ;CE ;CAUCAIA ;PARQUE ALBANO ;RUA PARANA, N. 1927, Apto 404, BLOCO 08 ;63.470,40;112.000,00;43.33;Apartamento, 0.00 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410475026
 8444416635319 ;CE ;CAUCAIA ;PARQUE ALBANO (JUREMA) ;QUADRA 57, N. 1927, Apto 203, BL 06 ;43.635,90;77.000,00;43.33;Apartamento, 0.00 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416635319
 8444425811493 ;CE ;CAUCAIA ;PARQUE POTIRA JUREMA ;RUA ARAQUEM, N. 1552, Apto 304, 3 PAVENTRADA A ;95.504,00;160.000,00;40.31;Apartamento, 0.00 de área total, 53.89 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425811493
 8444428561684 ;CE ;CAUCAIA ;PAUMIRIM ;RUA MARIA PIRES DE CASTRO, N. 255, Apto 104, BLOCO A ;94.608,65;158.500,00;40.31;Apartamento, 0.00 de área total, 53.58 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428561684
 8787710258864 ;CE ;CAUCAIA ;NOVA CIGANA ;RUA CRUZEIRO DO SUL, N. 250, Apto 202, TIPO 06 ;91.325,70;153.000,00;40.31;Apartamento, 0.00 de área total, 47.52 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710258864
 8444407279980 ;CE ;CAUCAIA ;PARQUE GUADALAJARA J ;RUA PADRE ALFREDO NESI, N. 1998, CASA 03  LT 35  QD 103 ;81.600,00;136.000,00;40.00;Casa, 0.00 de área total, 57.00 de área privativa, 102.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407279980
 8444410940470 ;CE ;CAUCAIA ;PARQUE POTIRA JUREMA ;RUA EMBIRA, N. 477, Apto 6, 0 ;84.000,00;140.000,00;40.00;Apartamento, 0.00 de área total, 49.61 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410940470
 8444413652492 ;CE ;CAUCAIA ;PARQUE GUADALAJARA J ;RUA MARIO CORDULINO DE BRITO, N. 349, Apto 104, TIPO D ;90.000,00;150.000,00;40.00;Apartamento, 0.00 de área total, 54.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413652492
 8444414840578 ;CE ;CAUCAIA ;PARQUE POTIRA JUREMA ;RUA MARIO MENDES, N. 690, Apto 9, . ;80.400,00;134.000,00;40.00;Apartamento, 0.00 de área total, 52.59 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414840578
 8444416365630 ;CE ;CAUCAIA ;PARQUE POTIRA JUREMA ;RUA JORGE GUIMARAES ALMEIDA, N. 1967, Apto 201, TIPO E LT 201 QD 57 ;92.400,00;154.000,00;40.00;Apartamento, 0.00 de área total, 49.49 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416365630
